监测时间,水质类别,水温（℃）,pH(无量纲),溶氧量(mg/L),电导率（μS/cm）,浊度（NTU）,高锰酸盐指数（mg/L）,氨氮（mg/L）,总磷（mg/L）,总氮（mg/L）,站点情况,id
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),,21.6,7.74,8.97,40410.7,430.2,,,,,维护,1685
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,21.6,8.28,8.26,1954.7,47.6,5.7,0.03,0.096,0.77,正常,1686
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,22.6,8.66,10.52,2825.6,33.1,5.64,0.025,0.061,0.68,正常,1687
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,24.3,9.44,11.09,1265.4,17.7,5.73,0.046,0.056,0.91,正常,1688
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),,23,8.28,,1013.6,10.1,2.65,0.054,0.108,5.39,维护,1689
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.3,8.39,24.36,940.2,13.9,4.68,0.037,0.093,5.42,正常,1690
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,24,8.01,4.49,1749.8,61.2,6.31,0.404,0.06,2.49,正常,1691
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),,25.5,8.86,,674.4,42.9,5.31,0.039,0.063,3.01,维护,1692
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,24.8,8.72,12.78,978.3,1.2,1.03,0.072,0.087,1.1,正常,1693
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,24.3,9.01,12.05,867.3,12.5,4.88,0.043,0.045,1.14,正常,1694
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,25,8.74,8.09,1452,33.1,6.07,0.027,0.035,0.6,正常,1695
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,24.8,8.93,8.29,347.3,6,1.61,0.025,0.01,2,正常,1696
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,25.4,8.07,8.59,919.8,9.6,3.29,0.041,0.023,5.22,正常,1697
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,25.4,8.07,11.74,1138.3,13.4,4.82,0.025,0.039,6.88,正常,1698
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,26.2,7.88,7.02,1064.8,17,5.95,0.025,0.045,2.64,正常,1699
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.5,8.68,12.21,639,2.9,4.45,0.025,0.029,2.08,正常,1700
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.4,8.42,11.26,889.6,4.2,4.07,0.025,0.019,0.4,正常,1701
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.6,8.4,9.59,918.2,4.2,4.24,0.025,0.019,0.4,正常,1702
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.9,7.9,8.93,681.6,4.7,5.58,0.025,0.031,0.83,正常,1703
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.2,8.25,7.59,1559.1,8.6,5.88,0.118,0.143,5.19,正常,1704
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,17.1,8.45,10.04,753.8,11,1.64,0.025,0.005,2.38,正常,1705
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,20.9,8.49,6.6,808.2,26,1.35,0.025,0.005,2.06,正常,1706
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16,8.65,11.81,933.8,29.6,2.42,0.025,0.068,7.1,正常,1707
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.5,8.36,8.31,571.9,12.3,3.18,0.025,0.136,6.43,正常,1708
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.3,8.46,8.18,1292.4,16.1,4.36,0.025,0.065,1.58,正常,1709
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.5,8.72,8.25,1027.3,25.4,4.31,0.025,0.092,4.46,正常,1710
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,19.8,8.26,6.98,1005.6,298,4.85,0.025,0.192,2.55,正常,1711
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18.8,8.06,8.09,1513.4,22.5,4.6,0.025,0.102,0.82,正常,1712
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.5,8.06,8.1,531.4,30.5,2.29,0.025,0.031,3.6,正常,1713
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,21,8.02,8.85,2221.5,2.6,4.33,0.051,0.137,6,正常,1714
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.5,8.42,8.57,743.5,15.2,2.62,0.025,0.031,3.69,正常,1715
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,22.5,7.91,7.62,660,21.7,7.91,0.101,0.082,2.03,正常,1716
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.3,7.78,8.87,716.7,5.5,2.46,0.05,0.022,1.46,正常,1717
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,24.3,8.07,10.52,853.5,28.4,4.27,0.025,0.086,1.77,正常,1718
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.8,8.17,8.18,513.3,4.1,2.31,0.025,0.013,0.68,正常,1719
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.9,7.7,5.08,650.1,19.3,2.1,0.025,0.065,1.1,正常,1720
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.9,8.38,9.14,821.5,6.1,1.66,0.025,0.022,3.38,正常,1721
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,26.2,8.71,7.57,,8,1.3,0.025,0.005,2.95,维护,1722
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.6,8.5,9.65,994.6,62.5,3.1,0.094,0.052,3.08,正常,1723
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.1,8.39,7.19,696.3,12.3,4.71,0.025,0.081,2.69,正常,1724
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22,7.95,7.75,520.6,50.7,0.78,0.025,0.028,3.7,正常,1725
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.6,8.31,8.18,2406.9,39.1,4.4,0.025,0.051,14.83,正常,1726
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,25.1,8.08,7.09,1572.8,58.3,8.39,0.025,0.11,6.1,正常,1727
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,22.7,8.47,9.54,942.7,44.4,5.75,0.025,0.047,0.59,正常,1728
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,26.6,8.2,9.18,1050.8,40.7,2.34,0.055,0.02,2.09,正常,1729
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,24.3,8.36,7.17,2171,122.5,4.55,0.035,0.135,4.98,正常,1730
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,27.1,8.15,7.19,706.7,12.3,1.43,0.025,0.02,2.76,正常,1731
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),,,,,,,,,,,维护,1732
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.6,8.1,8.26,1016.5,10.2,3.22,0.029,0.028,5.05,正常,1733
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.7,8.01,5.78,775.5,6.5,0.98,0.025,0.076,5.07,正常,1734
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,22.5,8.14,6.13,976.2,123.6,3.1,0.025,0.212,6.64,正常,1735
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.6,8.06,7.95,648.9,11.4,1.49,0.025,0.05,4.33,正常,1736
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,15,8,9.01,486.2,4.2,1.17,0.025,0.005,4.11,正常,1737
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,20,8.51,6.97,950.4,7.7,1.39,0.025,0.032,2.45,正常,1738
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,26.4,8.71,13.79,1550.5,24.6,5.88,0.025,0.067,3.74,正常,1739
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),,24.8,9.16,9.03,821.3,20,,,,,维护,1740
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.9,8.13,8.15,0.6,1,1.7,0.025,0.064,4.22,正常,1741
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,20.7,8.4,7.18,519.8,22.4,1.83,0.025,0.005,3.69,正常,1742
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,25.2,8.64,5.52,1165.5,7.5,4.08,0.026,0.05,1.45,正常,1743
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,23.5,9.03,7.11,724.1,48.5,2.95,0.025,0.041,1.5,正常,1744
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,24.6,8.83,9.05,1035.6,18.8,3.13,0.025,0.082,5.21,正常,1745
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.8,8.57,6.86,843.1,6.4,2.72,0.025,0.005,5.44,正常,1746
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,16.3,8.23,8.01,657.4,24.8,1.56,0.025,0.005,2.26,正常,1747
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,25.2,8.47,17.94,1104.9,44.7,4.66,0.267,0.098,4.46,正常,1748
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.5,8.36,8.64,895.8,560.2,2.69,0.032,0.011,1.55,正常,1749
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,20.3,8.31,9.69,972.1,249.5,2.01,0.025,0.012,1.92,正常,1750
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,21.8,8.59,11.47,1790.3,67.9,9.52,0.06,0.169,5.53,正常,1751
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,20,8.46,8.96,969.4,231.4,2.37,0.025,0.044,1.59,正常,1752
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,11,8.13,10.91,288.3,17.5,8.38,0.025,0.067,0.81,正常,1753
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅴ,13.9,8.2,11.09,302.7,42.2,10.8,0.078,0.14,1.24,正常,1754
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,16.7,7.94,8.91,394.9,12.9,17.25,0.025,0.06,1.23,正常,1755
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅴ,9.9,8.92,10.92,1208.9,23.1,6.2,0.107,0.145,0.86,正常,1756
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,20.8,8.55,9.62,960.4,135.4,1.63,0.025,0.03,1.96,正常,1757
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,20,8.88,11.8,,19.8,7.23,0.037,0.029,0.94,维护,1758
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.2,8.57,8.98,710.9,145.7,1.86,0.025,0.036,1.82,正常,1759
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,19.3,9.02,12.21,2040.1,2.2,6.77,0.025,0.026,0.64,正常,1760
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,15.8,8.55,9.98,737.5,12,1.71,0.025,0.01,5.29,正常,1761
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,12.5,8.48,12.09,167.5,3.6,4.71,0.025,0.038,0.44,正常,1762
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.8,7.55,10.99,302.3,63.7,1.7,0.025,0.022,2.69,正常,1763
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,10.4,7.89,12.12,177.9,50.5,3.69,0.025,0.018,1.41,正常,1764
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,19.7,8.56,7.91,829.1,78.5,9.02,0.074,0.156,3.24,正常,1765
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,19.4,7.44,10.43,772.8,6.4,5.15,0.158,0.1,5.99,正常,1766
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.3,8.53,9.56,573.9,22,3.07,0.025,0.092,2.56,正常,1767
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.3,8.13,8.74,792.9,8.2,3.94,0.072,0.045,2.99,正常,1768
,,,,,,,,,,,不具备运行条件,1769
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.1,8.46,10.01,312.9,38.4,4.19,0.075,0.063,2.49,正常,1770
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.6,8.63,10.11,297.5,100.1,4.53,0.025,0.084,2.16,正常,1771
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19,7.67,12.36,525.5,0.5,2.68,0.092,0.026,0.42,正常,1772
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,20.5,9.02,10.72,253.8,1.9,1.49,0.025,0.021,1.1,正常,1773
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,20.8,8.38,8.01,468.3,5.8,4.2,0.081,0.095,1.64,正常,1774
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.1,8.43,10.64,524.4,13.5,3.86,0.025,0.036,2.36,正常,1775
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.3,8.47,8.63,671.8,4.1,2.42,0.048,0.045,2.02,正常,1776
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.4,7.56,10.14,132.1,4,2.03,0.025,0.012,1.81,正常,1777
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,21.2,9.09,6.11,223.6,6.5,2.99,0.032,0.036,0.79,正常,1778
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,23.8,8.64,10.38,640.3,20.6,8.84,0.025,0.147,3.09,正常,1779
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.4,8.52,7.97,453.1,80.4,2.52,0.268,0.095,3.9,正常,1780
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,21.2,9.19,11.19,254.7,3.1,1.68,0.025,0.026,1.5,正常,1781
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,20,8.72,4.62,644.6,13,3.07,0.028,0.074,3.38,正常,1782
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,18.6,8.26,8.38,370.8,3.1,1.16,0.025,0.013,2.56,正常,1783
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.4,7.82,7.9,404.8,111.7,1.93,0.164,0.074,3.96,正常,1784
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13.4,8.03,12.57,253.6,2.4,1.87,0.025,0.012,2.66,正常,1785
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.9,8.12,7.43,531.5,22.2,2.95,0.143,0.067,3.61,正常,1786
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.1,7.96,12.66,369.5,4.7,1.49,0.03,0.031,3.32,正常,1787
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,19.2,9.01,10.15,235.6,5.7,2.23,0.052,0.034,2.56,正常,1788
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.2,8.24,9.99,252.4,10,0.94,0.025,0.022,2.17,正常,1789
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.7,8.61,10.32,240.8,7.7,2.04,0.025,0.014,2.92,正常,1790
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.8,8.5,10.61,194.1,10.7,1.82,0.025,0.048,1.88,正常,1791
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,11.3,8.49,13.73,238.6,8.4,1.04,0.025,0.015,2.86,正常,1792
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.8,8.41,10.94,245.2,14.3,1.74,0.025,0.035,2.68,正常,1793
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,11.7,8.11,9.83,278.9,2,1.79,0.025,0.012,2.62,正常,1794
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17,7.92,8.55,128.5,12.4,1.07,0.025,0.022,3.52,正常,1795
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,11.9,7.48,7.14,165.1,2,1.56,0.025,0.012,2.09,正常,1796
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.3,7.4,8.83,192.8,4.9,2.47,0.037,0.027,2.04,正常,1797
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,17.9,7.25,9.51,345.7,1.4,0.78,0.025,0.009,2.54,正常,1798
Mon May 13 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.9,8.15,9.59,695.1,17.9,2.15,0.025,0.026,2.88,正常,1799
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,23.3,8.06,9.42,434.1,7.5,1.81,0.026,0.035,2.88,正常,1800
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,23.2,8.85,10.1,998.8,8,2.91,0.025,0.024,2.46,正常,1801
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.5,7.3,9.34,815.3,16.8,5.16,0.06,0.062,4.57,正常,1802
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.7,8.3,10.6,834.1,3.8,4.16,0.049,0.077,6.79,正常,1803
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.1,7.74,9.61,1228.2,11.4,3.71,0.035,0.058,9.95,正常,1804
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.6,8.26,8.52,1001.6,46.3,3.75,0.037,0.039,2.12,正常,1805
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.7,7.89,8.67,892.2,7.1,3.87,0.025,0.049,3.66,正常,1806
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.9,7.68,10.34,450.8,24,2.31,0.046,0.032,3.53,正常,1807
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,22.4,7.86,7.86,967.4,12.9,5.6,0.039,0.071,2.95,正常,1808
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,24.1,7.87,10.6,1254,31.4,3.54,0.259,0.049,6.32,正常,1809
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,23.8,9.59,21.36,1111.6,13.2,5.43,0.047,0.37,3.13,正常,1810
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,23.8,8.35,11.95,1152.7,17.7,4.95,0.122,0.184,4.81,正常,1811
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22,8.54,10.22,424.7,4.7,2.77,0.025,0.005,0.95,正常,1812
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,20.4,8.11,9.6,731.2,34.2,5.63,0.619,0.122,4.42,正常,1813
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.5,8.58,11.59,432.2,4.2,2.3,0.025,0.005,1.23,正常,1814
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,20.4,8.36,10.57,466.8,9.6,1.69,0.025,0.005,2.95,正常,1815
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,22.9,8.19,14.89,537.5,3.9,0.84,0.025,0.005,3.5,正常,1816
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.8,8.99,14.42,577,8,3.5,0.025,0.052,1.72,正常,1817
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.4,8.21,9.07,573.4,166,2.31,0.025,0.102,10.72,正常,1818
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.8,8,6.94,834,12.8,3.51,0.067,0.062,0.97,正常,1819
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.8,8.24,10.54,721.3,9.8,3.38,0.057,0.035,1.04,正常,1820
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.7,8.29,11.92,839.6,10.7,3.51,0.033,0.056,1.07,正常,1821
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.1,8.4,10.09,688.5,7.7,3.25,0.064,0.042,1.09,正常,1822
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,23,8.28,8.88,283.8,1.2,1.54,0.032,0.005,1.06,正常,1823
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,21.3,8.71,11.61,2793,14.7,4.32,0.049,0.079,1.62,正常,1824
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,23.3,8.28,8.68,271.8,5.4,1.87,0.025,0.005,0.94,正常,1825
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,22.6,8.23,10.01,914.9,16.6,6.31,0.069,0.09,4.08,正常,1826
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,21.9,8.9,5.3,851.7,12.6,6.65,0.109,0.016,2.38,正常,1827
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.5,8.38,6.35,3916.4,42.1,2.46,0.129,0.079,4.44,正常,1828
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,21.9,9.35,11.32,25064.1,17.1,11.5,0.229,0.122,1.77,正常,1829
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,21.3,8.59,11.52,8293.7,101.3,6.06,0.141,0.097,1.33,正常,1830
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,23,8.36,15.3,37215.7,91.5,9.22,0.025,0.136,2.07,正常,1831
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,22.7,8.22,6.55,4138.7,44.5,7.96,0.04,0.123,1.53,正常,1832
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,22.9,8.33,8.95,2771.8,50.1,6.79,0.21,0.132,3.43,正常,1833
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),,23.7,9.15,,16519.3,44.2,8.88,0.358,0.123,1.66,维护,1834
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,19.5,8.31,11.11,1387.9,30.5,5.48,0.025,0.094,3.81,正常,1835
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,20.6,8.78,10.68,528.2,3.3,1.4,0.025,0.018,1.75,正常,1836
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,20.7,8.42,8.71,519.7,5.8,2.6,0.025,0.023,1.35,正常,1837
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.9,8.27,10.71,638,5.2,2.33,0.025,0.015,3.2,正常,1838
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,23.3,8.43,10.53,805.4,7.9,2.78,0.031,0.032,8.71,正常,1839
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,16.8,8.71,10.95,644.2,3.1,1.92,0.025,0.014,3.13,正常,1840
,,,,,,,,,,,不具备运行条件,1841
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,23.8,8.24,10.57,646.4,101.6,2.39,0.025,0.056,3.17,正常,1842
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,21.9,7.94,5.55,1100.8,68.3,0.65,0.03,0.03,3.98,正常,1843
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,20.8,8.02,6.29,956.9,23.8,1.52,0.374,0.036,7.09,正常,1844
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,22,8.43,10.59,397.1,21.6,1.83,0.025,0.011,1.99,正常,1845
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,20.8,8.13,3.29,1299.9,15.2,6.56,0.077,0.154,7.15,正常,1846
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.2,8.75,12.43,598.7,0.6,2.08,0.025,0.005,3.44,正常,1847
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,23.3,8.93,13.74,680.9,11.6,2.92,0.031,0.047,1.03,正常,1848
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,20.8,9.18,3.66,1236.6,8.2,7.8,0.05,0.636,1.12,正常,1849
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.8,8.05,7.5,568.3,8.7,2.22,0.077,0.038,2.72,正常,1850
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,22.3,8,10.02,20682.6,1.4,2.79,0.033,0.028,1.18,正常,1851
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,22.2,9.44,16.92,929.7,22.6,4.14,0.033,0.035,2.72,正常,1852
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,20.4,8.31,8.72,466.4,0.9,0.8,0.025,0.014,2.02,正常,1853
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.4,8.94,14.16,693.2,8.9,3.6,0.025,0.019,0.83,正常,1854
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,21.4,8.25,8.41,772.9,24.3,3.96,0.119,0.074,1.39,正常,1855
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅴ,24,8.6,10.92,25462.4,7.4,13.68,0.837,0.047,2.82,正常,1856
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,22.4,9.31,11.94,3204,135.4,8.22,0.086,0.123,1.75,正常,1857
Tue May 14 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,25.1,6.89,11.28,43097.3,10.8,4.15,0.824,0.005,1.62,正常,1858
